Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,,
IPAR,"Inter Parfums, Inc.",69.59,$2.18B,n/a,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/ipar,,,
ICPT,"Intercept Pharmaceuticals, Inc.",111.05,$3.29B,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/icpt,,,
IDCC,"InterDigital, Inc.",73.29,$2.48B,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/idcc,,,
TILE,"Interface, Inc.",17.16,$1.02B,n/a,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/tile,,,
LINK,"Interlink Electronics, Inc.",1.82,$11.8M,n/a,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/link,,,
IMI,"Intermolecular, Inc.",1.18,$58.71M,2011,Technology,Semiconductors,https://www.nasdaq.com/symbol/imi,,,
INAP,Internap Corporation,5.85,$149.25M,1999,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/inap,,,
IBOC,International Bancshares Corporation,38.23,$2.53B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/iboc,,,
IMXI,"International Money Express, Inc.",11.36,$411.04M,2017,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/imxi,,,
ISCA,International Speedway Corporation,43.37,$1.88B,1996,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/isca,,,
IGLD,Internet Gold Golden Lines Ltd.,0.7649,$21.42M,1999,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/igld,,,
IIJI,"Internet Initiative Japan, Inc.",11.7,$1.05B,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/iiji,,,
IDXG,"Interpace Diagnostics Group, Inc.",0.96,$27.55M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/idxg,,,
XENT,"Intersect ENT, Inc.",31.55,$964.02M,2014,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/xent,,,
IPLDP,Interstate Power and Light Company,24.42,n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ipldp,,,
IVAC,"Intevac, Inc.",5.38,$122.74M,1995,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/ivac,,,
INTL,INTL FCStone Inc.,38.94,$742.95M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/intl,,,
ITCI,Intra-Cellular Therapies Inc.,13.55,$741.54M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/itci,,,
XON,Intrexon Corporation,7.76,$1.24B,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/xon,,,
IIN,IntriCon Corporation,25.78,$222.76M,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/iin,,,
INTU,Intuit Inc.,228.96,$59.42B,1993,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/intu,,,
ISRG,"Intuitive Surgical, Inc.",539.71,$61.79B,2000,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/isrg,,,
PLW,Invesco 1-30 Laddered Treasury ETF,32.04,$160.2M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/plw,,,
ADRA,Invesco BLDRS Asia 50 ADR Index Fund,30.4987,$18.3M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adra,,,
ADRD,Invesco BLDRS Developed Markets 100 ADR Index Fund,20.87,$42.78M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adrd,,,
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,39.7901,$133.3M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adre,,,
ADRU,Invesco BLDRS Europe Select ADR Index Fund,20.41,$13.27M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adru,,,
PKW,Invesco BuyBack Achievers ETF,58.71,$1.15B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pkw,,,
PFM,Invesco Dividend Achievers ETF,26.72,$323.31M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pfm,,,
PYZ,Invesco DWA Basic Materials Momentum ETF,59.0193,$70.82M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pyz,,,
PEZ,Invesco DWA Consumer Cyclicals Momentum ETF,53.34,$32M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pez,,,
PSL,Invesco DWA Consumer Staples Momentum ETF,68.66,$171.65M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psl,,,
PIZ,Invesco DWA Developed Markets Momentum ETF,24.62,$178.5M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/piz,,,
PIE,Invesco DWA Emerging Markets Momentum ETF,16.56,$173.05M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pie,,,
PXI,Invesco DWA Energy Momentum ETF,31.67,$52.26M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pxi,,,
PFI,Invesco DWA Financial Momentum ETF,32.1474,$25.72M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pfi,,,
PTH,Invesco DWA Healthcare Momentum ETF,81.06,$202.65M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pth,,,
PRN,Invesco DWA Industrials Momentum ETF,58.4101,$93.46M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/prn,,,
DWLV,Invesco DWA Momentum & Low Volatility Rotation ETF,30.5476,$22.91M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwlv,,,
PDP,Invesco DWA Momentum ETF,54.22,$1.4B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pdp,,,
DWAQ,Invesco DWA NASDAQ Momentum ETF,104.16,$41.66M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwaq,,,
DWAS,Invesco DWA SmallCap Momentum ETF,49.6,$265.36M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwas,,,
DWIN,Invesco DWA Tactical Multi-Asset Income ETF,24.6396,$38.19M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwin,,,
DWTR,Invesco DWA Tactical Sector Rotation ETF,28.225,$60.68M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwtr,,,
PTF,Invesco DWA Technology Momentum ETF,62.5876,$128.3M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ptf,,,
PUI,Invesco DWA Utilities Momentum ETF,30.79,$192.44M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pui,,,
IDLB,Invesco FTSE International Low Beta Equal Weight ETF,27.36,$129.96M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/idlb,,,
PRFZ,Invesco FTSE RAFI US 1500 Small-Mid ETF,129.05,$2.16B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/prfz,,,
PAGG,Invesco Global Agriculture ETF,25.1118,$20.09M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pagg,,,
PSAU,Invesco Global Gold and Precious Metals ETF,18.57,$27.86M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psau,,,
PIO,Invesco Global Water ETF,25.49,$172.06M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pio,,,
PGJ,Invesco Golden Dragon China ETF,37.37,$192.46M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pgj,,,
PEY,Invesco High Yield Equity Dividend Achievers ETF,17.38,$757.77M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pey,,,
IPKW,Invesco International BuyBack Achievers ETF,30.8889,$196.14M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ipkw,,,
PID,Invesco International Dividend Achievers ETF,15.44,$711.78M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pid,,,
KBWB,Invesco KBW Bank ETF,50.63,$673.38M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kbwb,,,
KBWD,Invesco KBW High Dividend Yield Financial ETF,22.21,$303.17M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kbwd,,,
KBWY,Invesco KBW Premium Yield Equity REIT ETF,31.92,$365.48M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kbwy,,,
KBWP,Invesco KBW Property & Casualty Insurance ETF,61.73,$61.73M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kbwp,,,
KBWR,Invesco KBW Regional Banking ETF,52.56,$97.24M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kbwr,,,
LDRI,Invesco LadderRite 0-5 Year Corporate Bond ETF,24.8008,$12.4M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ldri,,,
LALT,Invesco Multi-Strategy Alternative ETF,22,$6.6M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/lalt,,,
PNQI,Invesco Nasdaq Internet ETF,129.12,$568.13M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pnqi,,,
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ET,16.12,$1.84B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pdbc,,,
QQQ,"Invesco QQQ Trust, Series 1",170.89,$65.55B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/qqq,,,
USLB,Invesco Russell 1000 Low Beta Equal Weight ETF,31.35,$181.83M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/uslb,,,
PSCD,Invesco S&P SmallCap Consumer Discretionary ETF,61.4532,$79.89M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pscd,,,
PSCC,Invesco S&P SmallCap Consumer Staples ETF,76.99,$69.29M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pscc,,,
PSCE,Invesco S&P SmallCap Energy ETF,10.06,$27.67M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psce,,,
PSCF,Invesco S&P SmallCap Financials ETF,54.115,$154.23M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pscf,,,
PSCH,Invesco S&P SmallCap Health Care ETF,120.72,$814.86M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psch,,,
PSCI,Invesco S&P SmallCap Industrials ETF,63.9501,$70.35M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psci,,,
PSCT,Invesco S&P SmallCap Information Technology ETF,79.97,$335.87M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psct,,,
PSCM,Invesco S&P SmallCap Materials ETF,47.19,$21.24M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pscm,,,
PSCU,Invesco S&P SmallCap Utilities & Communication Services ETF,52.8284,$60.75M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pscu,,,
ISDX,Invesco Strategic Developed ex-US ETF,23.43,$2.34M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/isdx,,,
ISDS,Invesco Strategic Developed ex-US Small Company ETF,22.55,$2.26M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/isds,,,
ISEM,Invesco Strategic Emerging Markets ETF,25.666,$2.57M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/isem,,,
IUS,Invesco Strategic US ETF,23.4535,$2.35M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ius,,,
IUSS,Invesco Strategic US Small Company ETF,22.7101,$2.27M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iuss,,,
VRIG,Invesco Variable Rate Investment Grade ETF,24.82,$415.74M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vrig,,,
PHO,Invesco Water Resources ETF,32.26,$843.6M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pho,,,
ISTR,Investar Holding Corporation,23.68,$224.59M,2014,Finance,Major Banks,https://www.nasdaq.com/symbol/istr,,,
ISBC,"Investors Bancorp, Inc.",12.82,$3.67B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/isbc,,,
ITIC,Investors Title Company,163.5,$308.46M,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/itic,,,
NVIV,InVivo Therapeutics Holdings Corp.,1.455,$13.54M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nviv,,,
IONS,"Ionis Pharmaceuticals, Inc.",59.67,$8.21B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ions,,,
IOVA,"Iovance Biotherapeutics, Inc.",9.69,$1.19B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/iova,,,
IPAS,iPass Inc.,3.25,$25.86M,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/ipas,,,
IPGP,IPG Photonics Corporation,147.15,$7.86B,2006,Technology,Semiconductors,https://www.nasdaq.com/symbol/ipgp,,,
IPIC,iPic Entertainment Inc.,5.48,$62.67M,2018,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/ipic,,,
CLRG,IQ Chaikin U.S. Large Cap ETF,23.89,$295.04M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/clrg,,,
CSML,IQ Chaikin U.S. Small Cap ETF,25.7299,$392.38M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/csml,,,
IQ,"iQIYI, Inc.",21.25,$107.65B,2018,Consumer Services,Consumer Electronics/Video Chains,https://www.nasdaq.com/symbol/iq,,,
IRMD,iRadimed Corporation,26.47,$289.43M,2014,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/irmd,,,
IRTC,"iRhythm Technologies, Inc.",84.32,$2.04B,2016,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/irtc,,,
IRIX,IRIDEX Corporation,4.74,$64.44M,1996,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/irix,,,
IRDM,Iridium Communications Inc,20.4,$2.27B,n/a,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/irdm,,,
IRDMB,Iridium Communications Inc,686.57,$343.29M,n/a,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/irdmb,,,
IRBT,iRobot Corporation,114.5,$3.17B,2005,Consumer Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/irbt,,,
IRWD,"Ironwood Pharmaceuticals, Inc.",13.21,$2.04B,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/irwd,,,
IRCP,IRSA Propiedades Comerciales S.A.,23.03,$725.53M,n/a,Consumer Services,Building operators,https://www.nasdaq.com/symbol/ircp,,,
SLQD,iShares 0-5 Year Investment Grade Corporate Bond ETF,49.97,$1.49B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/slqd,,,
ISHG,iShares 1-3 Year International Treasury Bond ETF,79.2259,$75.26M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ishg,,,
SHY,iShares 1-3 Year Treasury Bond ETF,83.67,$19.34B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/shy,,,
TLT,iShares 20+ Year Treasury Bond ETF,121.555,$10.82B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tlt,,,
IEI,iShares 3-7 Year Treasury Bond ETF,121.53,$7.62B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iei,,,
IEF,iShares 7-10 Year Treasury Bond ETF,104.31,$11.67B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ief,,,
AIA,iShares Asia 50 ETF,60.2,$1.06B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aia,,,
USIG,iShares Broad USD Investment Grade Corporate Bond ETF,54.03,$2.64B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/usig,,,
COMT,iShares Commodities Select Strategy ETF,32.29,$377.79M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/comt,,,
ISTB,iShares Core 1-5 Year USD Bond ETF,49.44,$2.3B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/istb,,,
IXUS,iShares Core MSCI Total International Stock ETF,56.34,$13.27B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ixus,,,
IUSG,iShares Core S&P U.S. Growth ETF,57.75,$5.54B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iusg,,,
IUSV,iShares Core S&P U.S. Value ETF,54.12,$5B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iusv,,,
IUSB,iShares Core Total USD Bond Market ETF,49.75,$2.87B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iusb,,,
HEWG,iShares Currency Hedged MSCI Germany ETF,25.07,$196.8M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hewg,,,
SUSB,iShares ESG 1-5 Year USD Corporate Bond ETF,24.71,$64.25M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/susb,,,
ESGD,iShares ESG MSCI EAFE ETF,61.06,$610.6M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/esgd,,,
ESGE,iShares ESG MSCI EM ETF,33.65,$484.56M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/esge,,,
ESGU,iShares ESG MSCI USA ETF,60.1901,$153.48M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/esgu,,,
SUSC,iShares ESG USD Corporate Bond ETF,24.44,$22M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/susc,,,
XT,iShares Exponential Technologies ETF,36.63,$2.32B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/xt,,,
FALN,iShares Fallen Angels USD Bond ETF,25.83,$64.58M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/faln,,,
IFEU,iShares FTSE EPRA/NAREIT Europe Index Fund,37.3107,$31.71M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ifeu,,,
IFGL,iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund,29.29,$503.79M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ifgl,,,
BGRN,iShares Global Green Bond ETF,51.5088,$25.75M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bgrn,,,
IGF,iShares Global Infrastructure ETF,42.71,$2.67B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/igf,,,
GNMA,iShares GNMA Bond ETF,48.94,$110.12M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gnma,,,
HYXE,iShares iBoxx $ High Yield ex Oil & Gas Corporate Bond ETF,50.35,$10.07M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hyxe,,,
IGIB,iShares Intermediate-Term Corporate Bond ETF,53.81,$5.49B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/igib,,,
IGOV,iShares International Treasury Bond ETF,48.45,$906.02M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/igov,,,
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,107.85,$17.43B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/emb,,,
MBB,iShares MBS ETF,105.08,$14.29B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mbb,,,
JKI,iShares Morningstar Mid-Cap ETF,155.25,$457.99M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jki,,,
ACWX,iShares MSCI ACWI ex US Index Fund,44.95,$3.79B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/acwx,,,
ACWI,iShares MSCI ACWI Index Fund,69.79,$10.45B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/acwi,,,
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,68.7,$4.53B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aaxj,,,
EWZS,iShares MSCI Brazil Small-Cap ETF,16.11,$92.63M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ewzs,,,
MCHI,iShares MSCI China ETF,59.17,$4.26B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mchi,,,
SCZ,iShares MSCI EAFE Small-Cap ETF,55.61,$9.22B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/scz,,,
EEMA,iShares MSCI Emerging Markets Asia ETF,65.73,$476.54M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/eema,,,
EMXC,iShares MSCI Emerging Markets ex China ETF,48.91,$14.67M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/emxc,,,
EUFN,iShares MSCI Europe Financials Sector Index Fund,17.92,$683.65M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/eufn,,,
IEUS,iShares MSCI Europe Small-Cap ETF,48.58,$150.6M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ieus,,,
RING,iShares MSCI Global Gold Miners ETF,17.39,$202.59M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ring,,,
SDG,iShares MSCI Global Impact ETF,57.2699,$45.82M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sdg,,,
ENZL,iShares MSCI New Zealand ETF,49.01,$147.03M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/enzl,,,
QAT,iShares MSCI Qatar ETF,18.68,$56.04M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/qat,,,
TUR,iShares MSCI Turkey ETF,28.25,$584.78M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tur,,,
UAE,iShares MSCI UAE ETF,13.71,$45.93M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/uae,,,
IBB,iShares Nasdaq Biotechnology Index Fund,109.42,$8.11B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ibb,,,
SOXX,iShares PHLX SOX Semiconductor Sector Index Fund,181.58,$1.19B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/soxx,,,
PFF,iShares Preferred and Income Securities ETF,35.92,$14.09B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pff,,,
AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,27.29,$10.92M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amca,,,
EMIF,iShares S&P Emerging Markets Infrastructure Index Fund,29.658,$29.66M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/emif,,,
ICLN,iShares S&P Global Clean Energy Index Fund,9.54,$192.71M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/icln,,,
WOOD,iShares S&P Global Timber & Forestry Index Fund,64.12,$311.62M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/wood,,,
INDY,iShares S&P India Nifty 50 Index Fund,34.91,$762.78M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/indy,,,
IJT,iShares S&P Small-Cap 600 Growth ETF,180.49,$5.68B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ijt,,,
DVY,iShares Select Dividend ETF,96.53,$16.89B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dvy,,,
SHV,iShares Short Treasury Bond ETF,110.41,$20.88B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/shv,,,
IGSB,iShares Short-Term Corporate Bond ETF,52.15,$10.34B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/igsb,,,
ISRL,"Isramco, Inc.",115,$312.53M,1983,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/isrl,,,
ITI,"Iteris, Inc.",4.41,$147.09M,n/a,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/iti,,,
ITRM,Iterum Therapeutics plc,6,$84.96M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/itrm,,,
ITRI,"Itron, Inc.",58.96,$2.32B,1993,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/itri,,,
ITRN,Ituran Location and Control Ltd.,33.69,$706.44M,2005,Consumer Non-Durables,Electronic Components,https://www.nasdaq.com/symbol/itrn,,,
IVENC,Ivy NextShares,100.02,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ivenc,,,
IVFGC,Ivy NextShares,100.02,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ivfgc,,,
IVFVC,Ivy NextShares,100.02,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ivfvc,,,
IZEA,"IZEA Worldwide, Inc.",1.67,$20.16M,n/a,Consumer Services,Advertising,https://www.nasdaq.com/symbol/izea,,,
JJSF,J & J Snack Foods Corp.,159.19,$2.99B,1986,Consumer Non-Durables,Specialty Foods,https://www.nasdaq.com/symbol/jjsf,,,
MAYS,"J. W. Mays, Inc.",39,$78.62M,n/a,Consumer Services,Building operators,https://www.nasdaq.com/symbol/mays,,,
JBHT,"J.B. Hunt Transport Services, Inc.",111.49,$12.12B,n/a,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/jbht,,,
JCOM,"j2 Global, Inc.",75.19,$3.71B,1999,Technology,Telecommunications Equipment,https://www.nasdaq.com/symbol/jcom,,,
JKHY,"Jack Henry & Associates, Inc.",132.71,$10.24B,1985,Technology,EDP Services,https://www.nasdaq.com/symbol/jkhy,,,
JACK,Jack In The Box Inc.,83.23,$2.15B,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/jack,,,
JAGX,"Jaguar Health, Inc.",0.235,$15.93M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/jagx,,,
JAKK,"JAKKS Pacific, Inc.",1.91,$55.71M,1996,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/jakk,,,
JRVR,"James River Group Holdings, Ltd.",39.88,$1.19B,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/jrvr,,,
JSML,Janus Henderson Small Cap Growth Alpha ETF,41.748,$8.43M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jsml,,,
JSMD,Janus Henderson Small/Mid Cap Growth Alpha ETF,43.1,$15.17M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jsmd,,,
JASN,"Jason Industries, Inc.",2.38,$65.2M,2013,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/jasn,,,
JASNW,"Jason Industries, Inc.",0.0099,n/a,2013,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/jasnw,,,
JAZZ,Jazz Pharmaceuticals plc,121.81,$7.35B,2007,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/jazz,,,
JD,"JD.com, Inc.",24.68,$35.71B,2014,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/jd,,,
JSYN,Jensyn Acquistion Corp.,10.05,$20.16M,2016,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/jsyn,,,
JSYNR,Jensyn Acquistion Corp.,0.13,n/a,2016,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/jsynr,,,
JSYNU,Jensyn Acquistion Corp.,12.25,n/a,2016,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/jsynu,,,
JSYNW,Jensyn Acquistion Corp.,0.0507,n/a,2016,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/jsynw,,,
JRSH,"Jerash Holdings (US), Inc.",6.77,$76.67M,2018,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/jrsh,,,
JBLU,JetBlue Airways Corporation,17.89,$5.45B,2002,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/jblu,,,
JCTCF,Jewett-Cameron Trading Company,7.2,$30.38M,n/a,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/jctcf,,,
JMU,JMU Limited,0.7599,$62.28M,2015,Technology,EDP Services,https://www.nasdaq.com/symbol/jmu,,,
JBSS,"John B. Sanfilippo & Son, Inc.",70.92,$807.55M,1991,Consumer Non-Durables,Specialty Foods,https://www.nasdaq.com/symbol/jbss,,,
JOUT,Johnson Outdoors Inc.,62.2,$624.42M,n/a,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/jout,,,
JNCE,"Jounce Therapeutics, Inc.",4.19,$137.02M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/jnce,,,
